time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
8.95500000,-3.77621406,-0.65177017,-60.25980359,-0.68074812,0.95480707,-0.41412791,7.35609983,-1.89079576,0.00000000,-11.01322020,1.29397609,20.83625988,-13.72561795,0.00000000,-54.34969158,-2.48615905,-5.00000214
8.96000000,-3.75849413,-0.65434532,-60.13005966,-0.68156615,0.95521243,-0.41184648,7.09211403,-1.78611901,0.00000000,-10.78112689,1.29766958,21.18489141,-13.38435492,0.00000000,-54.57128798,-2.29826376,-5.00000214
8.96500000,-3.76391343,-0.64755316,-59.95768138,-0.68215966,0.95559272,-0.41015478,6.79881083,-1.69190484,0.00000000,-10.40082356,1.28174583,21.59286027,-13.02652900,0.00000000,-54.77140183,-2.00262402,-5.00000214
8.97000000,-3.76796349,-0.67755595,-59.81037468,-0.68279147,0.95600935,-0.40812938,6.48479718,-1.56378620,0.00000000,-10.07503469,1.20713606,21.88743484,-12.68118676,0.00000000,-54.81036586,-1.69468705,-5.00000214
8.97500000,-3.76923123,-0.62751495,-59.55023980,-0.68333965,0.95631173,-0.40623315,6.23099040,-1.49116669,0.00000000,-9.76197882,1.15377467,22.29591579,-12.27701987,0.00000000,-54.83508535,-1.52180891,-5.00000214
8.98000000,-3.76380740,-0.69909341,-59.42963443,-0.68379411,0.95673022,-0.40414510,5.84498179,-1.36016275,0.00000000,-9.38344900,0.99917427,22.49431225,-11.91236551,0.00000000,-54.78364516,-1.21652301,-5.00000214
8.98500000,-3.76494212,-0.64501503,-59.22493374,-0.68429972,0.95690369,-0.40218445,5.61933416,-1.28967112,0.00000000,-9.10795058,1.08885439,22.84405391,-11.46194560,0.00000000,-54.70263103,-1.00808668,-5.00000214
8.99000000,-3.76963033,-0.61870515,-59.01479199,-0.68465156,0.95712546,-0.40024052,5.37243767,-1.21501521,0.00000000,-8.84382232,1.10766256,23.15526459,-11.00248368,0.00000000,-54.53914782,-0.81551222,-5.00000214
8.99500000,-3.78343382,-0.59662484,-58.77575914,-0.68527020,0.95735051,-0.39848528,5.14772772,-1.11811899,0.00000000,-8.58312593,1.11359323,23.46834637,-10.58923234,0.00000000,-54.33769388,-0.62191946,-5.00000214
9.00000000,-3.77778860,-0.65327831,-58.53928418,-0.68528491,0.95768146,-0.39645899,4.71450634,-1.01406144,0.00000000,-8.13916691,0.93874900,23.62327065,-10.15524855,0.00000000,-54.03026717,-0.46347392,-5.00000214
9.00500000,-3.78204368,-0.60262214,-58.29916719,-0.68555764,0.95781184,-0.39460502,4.48277605,-0.95760704,0.00000000,-7.87054283,1.04014954,23.91287418,-9.68007268,0.00000000,-53.70739573,-0.33357621,-5.00000214
9.01000000,-3.79493915,-0.63028202,-58.04238168,-0.68607686,0.95804079,-0.39284035,4.21692374,-0.83724202,0.00000000,-7.62562779,1.02460695,24.09955340,-9.26808813,0.00000000,-53.28136739,-0.23144008,-5.00000214
9.01500000,-3.79683460,-0.67117232,-57.74110161,-0.68607666,0.95841232,-0.39100608,3.83009697,-0.74633195,0.00000000,-7.22045850,0.86430413,24.22165977,-8.84361311,0.00000000,-52.79086537,-0.13532414,-5.00000214
9.02000000,-3.81020510,-0.63301859,-57.45101673,-0.68625025,0.95851369,-0.38886866,3.57223814,-0.66281341,0.00000000,-6.96391373,0.95585297,24.40869877,-8.38846254,0.00000000,-52.26852561,-0.03983136,-5.00000214
9.02500000,-3.81876644,-0.65172018,-57.16162431,-0.68655478,0.95864259,-0.38726446,3.30415120,-0.56406952,0.00000000,-6.70361108,1.01080937,24.55978155,-7.95381126,0.00000000,-51.71095409,0.10984450,-5.00000214
9.03000000,-3.83844203,-0.65932511,-56.91617383,-0.68661719,0.95882871,-0.38523994,3.02547608,-0.46094968,0.00000000,-6.44293494,1.04497874,24.63214777,-7.54028348,0.00000000,-51.06279355,0.20161084,-5.00000214
9.03500000,-3.84756651,-0.71298713,-56.55967102,-0.68693274,0.95893061,-0.38342532,2.68012567,-0.32665610,0.00000000,-6.13484031,1.06830993,24.70275443,-7.13785948,0.00000000,-50.34166721,0.24907223,-5.00000214
9.04000000,-3.84710302,-0.72640038,-56.25111309,-0.68688721,0.95915680,-0.38145390,2.35296673,-0.24890934,0.00000000,-5.82088701,1.09075982,24.74348906,-6.72249908,0.00000000,-49.60155170,0.38304747,-5.00000214
9.04500000,-3.85668712,-0.77757845,-55.89473315,-0.68706961,0.95945450,-0.37962003,2.02386030,-0.13138736,0.00000000,-5.53778924,1.03563618,24.74047224,-6.35080947,0.00000000,-48.79334442,0.50078685,-5.00000214
9.05000000,-3.86071152,-1.04822710,-55.47784283,-0.68690946,0.95979865,-0.37780518,1.32363891,0.11973000,0.00000000,-4.90806658,0.63869861,24.56342774,-6.11026051,0.00000000,-48.02604738,0.71498481,-5.00000214
9.05500000,-3.86928929,-1.06614512,-55.16620837,-0.68695214,0.95972289,-0.37597359,1.07119478,0.22699005,0.00000000,-4.72131065,0.77123796,24.58666338,-5.69078007,0.00000000,-47.16665718,0.75391642,-5.00000214
9.06000000,-3.87413773,-1.05800049,-54.84951195,-0.68700651,0.95976709,-0.37394251,0.81207676,0.32973385,0.00000000,-4.49430306,0.82319673,24.53786458,-5.31032272,0.00000000,-46.19458281,0.79995452,-5.00000214
9.06500000,-3.86825056,-1.24857501,-54.51953907,-0.68744345,0.95977711,-0.37271141,0.46527388,0.53704142,0.00000000,-4.30196143,0.79058948,24.42909422,-5.04274954,0.00000000,-45.32316059,0.94067048,-5.00000214
9.07000000,-3.88260127,-1.12431942,-54.16283302,-0.68697567,0.95983314,-0.37008037,0.20049338,0.57123001,0.00000000,-3.96369183,0.89703270,24.35976098,-4.59016172,0.00000000,-44.18852140,0.98616183,-5.00000214
9.07500000,-3.87639185,-1.47955614,-53.80692736,-0.68751031,0.96021079,-0.36892459,-0.30933340,0.89015195,0.00000000,-3.71010706,0.52992084,24.09030796,-4.44549924,0.00000000,-43.22496488,1.08598233,-5.00000214
9.08000000,-3.88186976,-1.45331472,-53.48589892,-0.68750154,0.96021208,-0.36705135,-0.49075013,0.98035440,0.00000000,-3.57310615,0.70228425,23.94773813,-4.09026520,0.00000000,-42.06906523,1.17521163,-5.00000214
9.08500000,-3.88428443,-1.45932479,-53.15631808,-0.68708300,0.96013028,-0.36510597,-0.74341540,1.07052888,0.00000000,-3.40338027,0.78537666,23.81265091,-3.73001874,0.00000000,-40.96659890,1.20996441,-5.00000214
9.09000000,-3.88335450,-1.44132768,-52.78123557,-0.68702415,0.96036586,-0.36305871,-1.00383794,1.16683143,0.00000000,-3.13161681,0.58550556,23.60694024,-3.40343692,0.00000000,-39.72307921,1.22929075,-5.00000214
9.09500000,-3.89315101,-1.50574511,-52.46318406,-0.68689922,0.96031858,-0.36097303,-1.25229317,1.32797772,0.00000000,-3.03826963,0.74005203,23.35145831,-3.12040971,0.00000000,-38.46546824,1.24767211,-5.00000214
9.10000000,-3.89482596,-1.50967456,-52.04318399,-0.68664831,0.96010217,-0.35881003,-1.51194703,1.44720737,0.00000000,-2.86859152,0.87747357,23.17852975,-2.82334114,0.00000000,-37.29727893,1.32801782,-5.00000214
