time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
8.91500000,-1.65420811,-3.63482192,31.50318221,0.13877300,0.95117490,-0.71755316,12.37508054,-3.87840927,0.00000000,-14.15725412,-0.21407512,21.88484260,-14.62574890,0.00000000,-50.61997527,-8.01020814,-5.00000214
8.92000000,-1.49971347,-3.65700633,31.60561236,0.14050307,0.95159583,-0.71606748,12.07878092,-3.64134811,0.00000000,-13.98207918,-0.19134596,22.36958109,-14.63292735,0.00000000,-51.47509986,-7.95331826,-5.00000214
8.92500000,-1.39941870,-3.70081573,31.80450383,0.14293888,0.95199279,-0.71483160,11.70260198,-3.40841008,0.00000000,-13.67889398,-0.13429295,22.84384536,-14.61254222,0.00000000,-52.17299232,-7.82366215,-5.00000214
8.93000000,-1.31896901,-3.72455151,31.96639215,0.14531064,0.95243679,-0.71364825,11.35571656,-3.19849781,0.00000000,-13.38074645,-0.08794606,23.28155458,-14.54632202,0.00000000,-52.79686027,-7.75728627,-5.00000214
8.93500000,-1.25992143,-3.74221591,32.14202892,0.14762756,0.95283135,-0.71256043,11.01945091,-3.01558690,0.00000000,-13.07981424,-0.05011654,23.71022143,-14.41088962,0.00000000,-53.33614202,-7.54608312,-5.00000214
8.94000000,-1.17268115,-3.75105047,32.30181410,0.14985511,0.95332033,-0.71151289,10.65942066,-2.82811949,0.00000000,-12.77260570,-0.02751826,24.08434122,-14.25491587,0.00000000,-53.81813819,-7.27950646,-5.00000214
8.94500000,-1.14575166,-3.73338070,32.45527770,0.15182791,0.95364093,-0.71069588,10.40953878,-2.72373158,0.00000000,-12.59363006,-0.00372068,24.47800836,-13.96983694,0.00000000,-54.24670098,-7.19465379,-5.00000214
8.95000000,-1.13686471,-3.76634105,32.66753844,0.15389302,0.95395125,-0.70979326,10.10885112,-2.56924443,0.00000000,-12.23808605,0.05144816,24.93967255,-13.72984041,0.00000000,-54.64308973,-6.95371138,-5.00000214
8.95500000,-1.12707563,-3.76775334,32.84290470,0.15567486,0.95438210,-0.70895825,9.86957917,-2.46024394,0.00000000,-12.00344740,0.02417256,25.35573972,-13.40694557,0.00000000,-54.96451005,-6.72435469,-5.00000214
8.96000000,-1.11499697,-3.76966781,32.97144653,0.15792421,0.95474577,-0.70817197,9.59334865,-2.33058089,0.00000000,-11.72212289,0.03592271,25.67557183,-13.06358320,0.00000000,-55.18605926,-6.37968104,-5.00000214
8.96500000,-1.10012523,-3.76230923,33.13683723,0.15933202,0.95508474,-0.70750606,9.38823985,-2.24589513,0.00000000,-11.53531364,0.04637580,26.07312988,-12.66882194,0.00000000,-55.42337672,-6.23820203,-5.00000214
8.97000000,-1.11784145,-3.76699180,33.28175238,0.16122556,0.95537975,-0.70684900,9.17547071,-2.15043844,0.00000000,-11.30759172,0.06006692,26.42070687,-12.26708700,0.00000000,-55.51519099,-6.04579961,-5.00000214
8.97500000,-1.15643515,-3.76819706,33.54524432,0.16294362,0.95564780,-0.70623030,8.98190548,-2.07915800,0.00000000,-11.11751676,0.06649556,26.80683761,-11.82807388,0.00000000,-55.54334267,-5.91778864,-5.00000214
8.98000000,-1.23138233,-3.77564644,33.67174035,0.16489008,0.95583350,-0.70580924,8.77676943,-2.02827802,0.00000000,-10.80873284,0.09299502,27.14593610,-11.34684941,0.00000000,-55.53453564,-5.71071182,-5.00000214
8.98500000,-1.29565838,-3.78124073,33.87156708,0.16676019,0.95601770,-0.70532250,8.57255277,-1.96963786,0.00000000,-10.53207194,0.12516245,27.45930135,-10.85038457,0.00000000,-55.43289321,-5.43325420,-5.00000214
8.99000000,-1.31494690,-3.79231063,34.09806331,0.16856490,0.95619971,-0.70496552,8.34749766,-1.89316150,0.00000000,-10.30374199,0.16028945,27.76421821,-10.36109969,0.00000000,-55.30047110,-5.27014270,-5.00000214
8.99500000,-1.34269868,-3.79947741,34.33259686,0.17022980,0.95642545,-0.70433462,8.14657979,-1.81397521,0.00000000,-10.07540650,0.18306608,28.04448990,-9.89430040,0.00000000,-55.09226507,-5.10225899,-5.00000214
9.00000000,-1.37727657,-3.80508543,34.57532414,0.17203946,0.95660825,-0.70430753,7.89014289,-1.76530171,0.00000000,-9.79695175,0.22232266,28.27369916,-9.36586303,0.00000000,-54.79999911,-4.97838128,-5.00000214
9.00500000,-1.40138777,-3.80980423,34.82684356,0.17379858,0.95678217,-0.70404025,7.63430751,-1.70175876,0.00000000,-9.51238860,0.23600532,28.51473941,-8.86459297,0.00000000,-54.48766090,-4.84371212,-5.00000214
9.01000000,-1.38064442,-3.82110827,35.06200989,0.17548257,0.95703188,-0.70348540,7.41680904,-1.59276266,0.00000000,-9.33365672,0.25805760,28.65549973,-8.40707225,0.00000000,-54.03215079,-4.76411293,-5.00000214
9.01500000,-1.39294090,-3.82661871,35.38966750,0.17715646,0.95729401,-0.70346946,7.12577859,-1.54173763,0.00000000,-9.01897583,0.24907010,28.82388397,-7.90726672,0.00000000,-53.57666826,-4.68351122,-5.00000214
9.02000000,-1.39412501,-3.83849294,35.70153008,0.17918651,0.95747750,-0.70331175,6.81131809,-1.44944648,0.00000000,-8.70342912,0.25548670,28.95362873,-7.42574028,0.00000000,-53.06214539,-4.59303906,-5.00000214
9.02500000,-1.35319557,-3.84641035,35.98989325,0.18071757,0.95763854,-0.70299141,6.55479619,-1.34277873,0.00000000,-8.48841544,0.29022582,29.04594979,-6.96701811,0.00000000,-52.49224044,-4.45105346,-5.00000214
9.03000000,-1.21937857,-3.85478403,36.29180598,0.18270006,0.95800173,-0.70300366,6.08217520,-1.17909447,0.00000000,-8.07488461,0.12444190,29.00990679,-6.58757034,0.00000000,-51.90954964,-4.33167948,-5.00000214
9.03500000,-1.17797398,-3.86569501,36.63807613,0.18439520,0.95808901,-0.70265788,5.81001040,-1.06088622,0.00000000,-7.86939299,0.23938985,29.05583414,-6.13520795,0.00000000,-51.18633944,-4.29430627,-5.00000214
9.04000000,-1.09987293,-3.87241217,36.98515437,0.18633168,0.95840669,-0.70272007,5.39044756,-0.93870940,0.00000000,-7.47297044,0.17220880,29.03201535,-5.73213666,0.00000000,-50.47728039,-4.10622778,-5.00000214
9.04500000,-1.06779399,-3.88354287,37.33236085,0.18804960,0.95867855,-0.70243174,5.15814166,-0.83448445,0.00000000,-7.32858052,0.25379006,29.02406895,-5.31324028,0.00000000,-49.68067820,-4.01405565,-5.00000214
9.05000000,-1.05398776,-3.88850958,37.70670919,0.18969031,0.95877094,-0.70246937,4.85814272,-0.75624862,0.00000000,-7.04113429,0.25845435,28.99648839,-4.85996761,0.00000000,-48.83713955,-3.86702240,-5.00000214
9.05500000,-0.99053209,-3.89531085,38.04137451,0.19148168,0.95879517,-0.70245548,4.53688791,-0.62841327,0.00000000,-6.78886059,0.31990001,28.94709206,-4.43010680,0.00000000,-47.97910008,-3.80133892,-5.00000214
9.06000000,-0.95771592,-3.90367653,38.37379246,0.19343461,0.95889103,-0.70237360,4.24883972,-0.50249302,0.00000000,-6.55461906,0.34559870,28.85431000,-4.04524856,0.00000000,-47.04260493,-3.73165398,-5.00000214
9.06500000,-0.80366507,-3.90112671,38.70761150,0.19466428,0.95893664,-0.70193087,3.95683502,-0.31812796,0.00000000,-6.39778584,0.36118917,28.72644167,-3.72153049,0.00000000,-46.13858066,-3.58743512,-5.00000214
9.07000000,-0.88298645,-3.91344914,39.10659659,0.19720157,0.95905829,-0.70244147,3.63395231,-0.27284844,0.00000000,-6.03053374,0.42868461,28.61124393,-3.25204936,0.00000000,-45.05925984,-3.51166759,-5.00000214
9.07500000,-0.67659030,-3.90762723,39.41479856,0.19825807,0.95926858,-0.70177697,3.38780737,-0.05258868,0.00000000,-6.01720022,0.33651373,28.41579352,-2.98334844,0.00000000,-44.05436232,-3.42071241,-5.00000214
9.08000000,-0.64877493,-3.90762704,39.76455409,0.20010664,0.95940563,-0.70184282,3.11571445,0.05681688,0.00000000,-5.80261541,0.39657366,28.20195491,-2.62120454,0.00000000,-42.92795302,-3.29240221,-5.00000214
9.08500000,-0.59768557,-3.90890755,40.12367558,0.20201861,0.95941561,-0.70226566,2.80220135,0.17145721,0.00000000,-5.58843144,0.42254921,28.01004572,-2.25727430,0.00000000,-41.85389859,-3.22436116,-5.00000214
