Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
5.595,-0.47084381,3.23338787,92.52379016,0.6383219,0.95830582,-0.77914922,-5.84783898,2.13959623,-28.52695221,-7.64369664,15.88193848,1.26384153,0,-3.01953126,-5.97606893,-16.22790842,-10.58653448,12.93762715,5.80110507,0,0,0,0
5.6,-0.40318427,3.23404358,92.45762844,0.63914258,0.95808022,-0.77988896,-5.93517111,2.27655393,-28.49447869,-7.5496124,15.9053265,1.32036761,0,-2.8358029,-6.1264854,-16.02690331,-11.05863131,13.15815436,5.47481582,0,0,0,0
5.605,-0.37006969,3.22628603,92.34953055,0.6399269,0.95784095,-0.78058747,-5.97713297,2.348332,-28.39862025,-7.53386408,15.98432278,1.37097334,0,-2.66184157,-6.20043374,-15.67419796,-11.49838304,13.35392511,4.82749492,0,0,0,0
5.61,-0.30562214,3.2603074,92.25340387,0.64074064,0.95762742,-0.78132196,-6.08487006,2.46825225,-28.32537505,-7.47617633,16.04698612,1.44797895,0,-2.49831437,-6.33264495,-15.4053571,-12.00603665,13.56875546,4.34884682,0,0,0,0
5.615,-0.24393612,3.27735061,92.16052289,0.64154569,0.95738272,-0.78203396,-6.16496511,2.57967094,-28.25765892,-7.43733724,16.1128111,1.5191125,0,-2.2874579,-6.46244574,-15.11333662,-12.56532587,13.79432967,3.84414116,0,0,0,0
5.62,-0.15903063,3.32629274,92.08332311,0.64236936,0.95715365,-0.7827782,-6.29878095,2.72925743,-28.21226441,-7.3598864,16.15006891,1.59705881,0,-2.0761559,-6.63924415,-14.88897216,-13.19121973,14.04402628,3.48329519,0,0,0,0
5.625,-0.10489435,3.31986444,91.98312215,0.6431331,0.95687517,-0.78343686,-6.33024502,2.81568326,-28.12986013,-7.36915814,16.25534992,1.66863806,0,-1.80787702,-6.73389546,-14.4432871,-13.7985177,14.23175361,2.72276644,0,0,0,0
5.63,-0.0304499,3.35377107,91.89872665,0.64391796,0.95662101,-0.78413565,-6.42623524,2.93763433,-28.07639754,-7.33789542,16.33145062,1.75844497,0,-1.54973522,-6.86886361,-14.04869127,-14.46972618,14.43407267,2.08008059,0,0,0,0
5.635,0.06868014,3.40940563,91.83002146,0.6447234,0.95637453,-0.78486251,-6.56747855,3.10078315,-28.04749743,-7.26047681,16.35761667,1.84872562,0,-1.27097768,-7.05645696,-13.74618468,-15.22574122,14.66648243,1.62145776,0,0,0,0
5.64,0.12294161,3.4087255,91.73306458,0.64544777,0.9560867,-0.78549189,-6.59537216,3.17746995,-27.98301543,-7.29277809,16.48580302,1.94973192,0,-0.94122739,-7.13286494,-13.20106367,-15.9472051,14.80183774,0.69848571,0,0,0,0
5.645,0.20360597,3.44876011,91.65834393,0.64620036,0.95582645,-0.78616585,-6.69577838,3.30155709,-27.95908979,-7.26684798,16.55921855,2.06665341,0,-0.61186755,-7.26499143,-12.74422025,-16.75167159,14.96382812,-0.02994232,0,0,0,0
5.65,0.28831367,3.48089171,91.59379404,0.64694171,0.95555695,-0.78682707,-6.78478649,3.42985651,-27.93947426,-7.24746602,16.65700679,2.18339229,0,-0.24430988,-7.3991269,-12.26746017,-17.6031066,15.07979681,-0.77120291,0,0,0,0
5.655,0.37172535,3.52161871,91.53255857,0.64767283,0.9552962,-0.78749143,-6.88742002,3.55771231,-27.92893661,-7.22053015,16.74188194,2.30485423,0,0.14149838,-7.53038175,-11.79051724,-18.5031092,15.17944332,-1.51272561,0,0,0,0
5.66,0.4361538,3.56667452,91.45774449,0.64837702,0.95505228,-0.78815212,-6.987748,3.6547333,-27.92294403,-7.210313,16.81546385,2.44879071,0,0.53593999,-7.6249932,-11.28893076,-19.43041878,15.2587898,-2.34422008,0,0,0,0
5.665,0.51639283,3.60785556,91.41278232,0.64908827,0.95480366,-0.78881353,-7.09335168,3.78104365,-27.93514899,-7.18039592,16.90728612,2.57761687,0,0.97777702,-7.74960091,-10.80692525,-20.42329861,15.27189951,-3.07921824,0,0,0,0
5.67,0.57451294,3.65722582,91.34973084,0.64976555,0.95457773,-0.78946967,-7.19833305,3.87094708,-27.94710638,-7.17221817,16.98597964,2.72437454,0,1.42454229,-7.8335542,-10.31386142,-21.44646789,15.27244286,-3.89949059,0,0,0,0
5.675,0.6331957,3.71049436,91.30013189,0.65044172,0.95436431,-0.79013939,-7.3169631,3.96826676,-27.97130475,-7.14634586,17.06865704,2.87729698,0,1.89698525,-7.92180922,-9.83680049,-22.51751422,15.21008448,-4.67839633,0,0,0,0
5.68,0.68302393,3.76719358,91.25398052,0.65110296,0.9541692,-0.79081073,-7.43933727,4.05503309,-27.99942995,-7.12241406,17.15232075,3.03314991,0,2.39206722,-7.99836907,-9.37083622,-23.63155912,15.09205927,-5.45092296,0,0,0,0
5.685,0.72712148,3.82564174,91.21453715,0.65175604,0.95398777,-0.79149095,-7.56591453,4.13768393,-28.03661222,-7.09462452,17.23121038,3.18146512,0,2.91278763,-8.06956378,-8.9241132,-24.79078829,14.91743712,-6.19903689,0,0,0,0
5.69,0.76092665,3.88359807,91.18300535,0.65239659,0.95382279,-0.79218947,-7.70138068,4.21401915,-28.07620916,-7.0494368,17.30291329,3.33023546,0,3.45865157,-8.12889422,-8.48971841,-25.98828028,14.67537915,-6.92879514,0,0,0,0
5.695,0.78445448,3.95273066,91.13752369,0.6530287,0.9536784,-0.79289034,-7.83893621,4.27063558,-28.11065252,-7.02769826,17.38230279,3.48708865,0,4.01205857,-8.1724098,-8.08122172,-27.22290381,14.38596835,-7.67873584,0,0,0,0
5.7,0.80110591,4.02146639,91.10182523,0.65364983,0.95355077,-0.79361672,-7.98618196,4.32552748,-28.15266541,-6.98717844,17.452397,3.63661238,0,4.59166492,-8.21265892,-7.69692186,-28.4962204,14.02395816,-8.38650249,0,0,0,0
5.705,0.80506453,4.0894273,91.06214768,0.65426677,0.95343907,-0.79435401,-8.13434614,4.36611105,-28.18484115,-6.94465857,17.52573218,3.80085454,0,5.18991121,-8.23432148,-7.32192395,-29.79601637,13.58826855,-9.1030404,0,0,0,0
5.71,0.80801675,4.15546187,91.04418052,0.65487766,0.95333514,-0.7951241,-8.29334499,4.41732643,-28.22876593,-6.8768258,17.57430594,3.92171166,0,5.82134184,-8.26526194,-6.9710761,-31.13837666,13.08540382,-9.73301714,0,0,0,0
5.715,0.80143737,4.22485381,91.00807739,0.65548301,0.95324856,-0.79590253,-8.44832893,4.44975027,-28.25378344,-6.8275205,17.63458493,4.04861876,0,6.46168246,-8.27967725,-6.64065929,-32.50078484,12.51166356,-10.40823958,0,0,0,0
5.72,0.78165672,4.30237595,90.95258185,0.65607356,0.95318551,-0.79669554,-8.59696705,4.45331559,-28.2858083,-6.81480987,17.71316546,4.19169054,0,7.10156576,-8.27646578,-6.34357874,-33.8752838,11.85653744,-11.12049546,0,0,0,0
5.725,0.76494681,4.37084969,90.9213562,0.65666289,0.95311566,-0.79753998,-8.76510705,4.48039272,-28.30883606,-6.74254167,17.7650658,4.31702607,0,7.77668213,-8.283749,-6.04774916,-35.27923575,11.15081465,-11.729255,0,0,0,0
5.73,0.74678434,4.44296596,90.87278775,0.65725199,0.95305759,-0.79840569,-8.93130194,4.49845339,-28.31823706,-6.68577653,17.81760241,4.43875265,0,8.45625016,-8.28931307,-5.78146128,-36.69161178,10.37670012,-12.35843291,0,0,0,0
5.735,0.71965944,4.51298661,90.81547777,0.65783562,0.95300821,-0.79928992,-9.08869837,4.50041276,-28.32710797,-6.6460369,17.87536898,4.55746253,0,9.1445808,-8.28332628,-5.53311554,-38.10279046,9.53584575,-12.99475443,0,0,0,0
5.74,0.68664202,4.58788288,90.73679196,0.65840654,0.95296811,-0.80022146,-9.24996498,4.48608022,-28.332388,-6.61693911,17.94336811,4.69823049,0,9.82725832,-8.27444795,-5.32927552,-39.50909288,8.63672226,-13.63371914,0,0,0,0
5.745,0.66556151,4.66208997,90.67355292,0.65897565,0.95292041,-0.80118836,-9.42249079,4.49468817,-28.33989301,-6.56374795,17.99344124,4.81229853,0,10.52534591,-8.28114419,-5.1204389,-40.91871082,7.71711987,-14.20846604,0,0,0,0
5.75,0.64078215,4.73642688,90.59243309,0.65954087,0.95287538,-0.80219126,-9.59545344,4.49309906,-28.32520811,-6.51581265,18.04960438,4.93057984,0,11.21909261,-8.2838379,-4.93766552,-42.3089638,6.76243818,-14.78223303,0,0,0,0
5.755,0.62573865,4.81616419,90.50124316,0.66011122,0.95282983,-0.80323772,-9.78664833,4.5046404,-28.28332446,-6.44581815,18.09664402,5.05895903,0,11.90515558,-8.29925059,-4.77050782,-43.68076805,5.80783789,-15.31489231,0,0,0,0
5.76,0.60086411,4.89643329,90.39365712,0.6606602,0.95278715,-0.80431018,-9.96203029,4.49007362,-28.25763408,-6.4155554,18.16220466,5.16924078,0,12.58211275,-8.30782342,-4.64601179,-45.01964221,4.83215811,-15.85721859,0,0,0,0
5.765,0.59071557,4.98384089,90.27494125,0.66121647,0.95273924,-0.80543345,-10.1657001,4.49690932,-28.19390967,-6.34695354,18.21484214,5.30627107,0,13.24408053,-8.33382097,-4.53132256,-46.3291142,3.89952408,-16.33976013,0,0,0,0
5.77,0.57040893,5.07253533,90.14221248,0.66175091,0.95269462,-0.80657837,-10.35204942,4.47668475,-28.14772062,-6.32274543,18.28863925,5.42511879,0,13.8918342,-8.35178877,-4.45204774,-47.593237,2.97541707,-16.81560878,0,0,0,0
5.775,0.56014842,5.17021581,89.99402687,0.66229261,0.95264549,-0.80776618,-10.55878475,4.46633472,-28.07831633,-6.28121239,18.35835315,5.56312206,0,14.51672676,-8.38604347,-4.39780816,-48.81467884,2.1162733,-17.23716713,0,0,0,0
5.78,0.55659034,5.27634767,89.8286727,0.6628273,0.9525974,-0.80899597,-10.77813158,4.45729571,-27.99036274,-6.23764907,18.42844422,5.70779833,0,15.11496892,-8.43269112,-4.37351009,-49.98466344,1.33054319,-17.60640963,0,0,0,0
5.785,0.54646665,5.38100884,89.65243808,0.66334717,0.95254342,-0.81025436,-10.98807774,4.4309938,-27.9083292,-6.2155928,18.51553993,5.84733381,0,15.69684814,-8.47516556,-4.37604263,-51.09500006,0.6079564,-17.94235161,0,0,0,0
5.79,0.54069162,5.49366805,89.46041544,0.66386667,0.95248926,-0.81155414,-11.20912895,4.40323045,-27.81616912,-6.19386754,18.6062812,5.99671963,0,16.25006451,-8.52970111,-4.41020895,-52.14513864,-0.02130964,-18.21803815,0,0,0,0
5.795,0.54903463,5.62987808,89.24441519,0.66439533,0.95244618,-0.81290558,-11.46169085,4.38418399,-27.7001688,-6.16578637,18.69152848,6.14342508,0,16.75155059,-8.61602182,-4.49563298,-53.12779437,-0.5333601,-18.41494212,0,0,0,0
5.8,0.54745406,5.74037729,89.02955729,0.66489188,0.95238111,-0.81428043,-11.68129084,4.34777455,-27.58314125,-6.15283647,18.79201834,6.29160531,0,17.26169505,-8.68129412,-4.57348927,-54.03458226,-0.98506795,-18.59451018,0,0,0,0
5.805,0.5398389,5.83753866,88.81085852,0.66536433,0.95230523,-0.81567987,-11.88067331,4.29630131,-27.46590235,-6.15632861,18.9023113,6.45815324,0,17.76357166,-8.73615766,-4.65741621,-54.86020143,-1.35863599,-18.726656,0,0,0,0
5.81,0.53978819,5.97083739,88.5740594,0.66584658,0.95225239,-0.81714374,-12.12517963,4.24742154,-27.34277108,-6.15500626,19.01413968,6.60083953,0,18.19640005,-8.8207056,-4.80046862,-55.60494205,-1.62793718,-18.79158361,0,0,0,0
